sentence	paragraph	Alatopiikki	kommentti	textid	indicatorword	indicator.deprel	headverb_lemma	headverb_person	words_total	kokoteksti
Mielestäni asuntolassa asuminen oli ihan viihtyisää.	Mielestäni asuntolassa asuminen oli ihan viihtyisää. Jokaisella on oma huone, jossa on erillinen pieni suihkuhuone ja vessa. Huoneesta löytyi myös jääkaappi ja ilmastointilaite, josta sai sekä kylmää ja kuumaa ilmaa. Vuokra oli noin 300 euroa kuukaudessa. Jokaisessa kerroksessa oli myös yhteinen keittiö ja pesu- ja kuivauskone. Huoneessa on mahdollisuus langalliseen nettiyhteyteen, johdon saa ostettua Japanista. Asuntolan aulassa oli myös Wi-Fi- yhteys. Ainut haittapuoli asuntolassa asumisessa oli se, että talvella huoneessa ja yleisissä tiloissa oli kylmä. Vieraiden tuominen huoneisiin on kielletty. Perheenjäsenten vieraillessa oli käytössä kuitenkin erillinen asuntola, joka on aivan opiskelijoiden asuntolan vieressä.			334	asun#tola	nmod	viihtyisä	--	10	https://puolukka.uta.fi/jhout/analyzer/index.php?id=334
Olin saanut huoneen yliopiston kampuksen asuntolasta Egilolfstraßelta neljän hengen solusta.	Olin saanut huoneen yliopiston kampuksen asuntolasta Egilolfstraßelta neljän hengen solusta. Paikalla minua odotti 13 neliön huone jaetulla keittiöllä, WC:llä ja kylpyhuoneella. Asuntohakemuksen yhteydessä sai toivoa itselleen starttipaketin, johon kuului peitto, tyyny ja lakanat, jotka odottivat huoneessa saapumispäivänä. Näin ei tarvinnut heti ensimmäisenä päivänä rynnätä vuodevaateostoksille. Matkaa yliopistolle asunnolta oli kävellen noin viisi minuuttia, joten sijainti oli loistava. Hohenheimissa ei ole tapana erottaa vaihtareita ja saksalaisia opiskelijoita eri asuntoloihin, esimerkiksi meidän asunnossamme (WG) oli kaksi saksalaista ja minun lisäkseni yksi toinen vaihtari. Yliopiston verkko asuntolassa toimii VPN-yhteyden kautta, sen asentamiseen saa kyllä apua yliopistolta ensimmäisinä päivinä.			694	asun#tola	nmod	saada	--	95	https://puolukka.uta.fi/jhout/analyzer/index.php?id=694
Asuntoloista valitsin Julius Raab Heimin vanhojen matkakertomusten perusteella.	Asuntoloista valitsin Julius Raab Heimin vanhojen matkakertomusten perusteella. Vaikka asuntolaan saapuessa neuvostoliittotyylinen rakennus ja ei niin kauniit, mutta silti siistit huoneet eivät antaneet parasta ensivaikutelmaa, voin suoraan sanoa sen olleen paras vaihtoehto, sillä siellä asuu suurin osa kaikista vaihto-oppilaista. Haimme poikaystäväni kanssa tuplahuonetta yhteisellä keittiöllä, mutta Itävalta on katolilainen maa ja meitä ei suostuttu laittamaan samaan huoneeseen sillä emme olleet naimisissa, niin saimme oman asunnon kahdella huoneella ja omalla keittiöllä. Oma keittiö oli mieluinen aina aamuisin aamupalalla, mutta toisinaan olisin toivonut yhteistä keittiötä, sillä siellä olisi päässyt vielä enemmän sosialisoitumaan ja tutustumaan muihin vaihtareihin. Raab Heim sijaitsee kätevästi noin 10 minuutin kävelymatkan päässä yliopistolta ja noin 20 minuutin ratikkamatkan päässä Linzin keskustasta. Asuntola toimii myös hotellina, joten siellä on 24/7 vastaanotto ja säännöllisesti vierailevat siivojat.			286	asunto#loka	nmod	valita	Sing.1	36	https://puolukka.uta.fi/jhout/analyzer/index.php?id=286
Valitsin kolmesta hakuprosessin aikana tarjotuista asumisvaihtoehdosta I-Housen.	Valitsin kolmesta hakuprosessin aikana tarjotuista asumisvaihtoehdosta I-Housen. Päädyin lopulta Shaw Collegeen kuuluvaan Student Hostel 2-nimiseen asuntolaan, joka oli tyyliltään hyvin vastaavanlainen, kun varsinaiset I-House asuntolat kampuksella. Olin hyvin tyytyväinen todella edulliseen asuntooni Shawssa, mutta joidenkin vaihtareiden kokemus samasta asuntolasta oli huomattavasti huonompi. Jos haluat varmistaa uudemman ja freshimmän asumismuodon, suosittelen valitsemaan jomman kumman communal dinnerin sisältävästä vaihtoehdosta. Oman kokemukseni mukaan asunnostaan lisähintaa maksaneet saivat hyvin vastinetta rahoilleen. Jos kampusasuminen mietityttää, kannattaa vähän googlailla etukäteen, millaisia CUHKin eri colleget ovat.			391	asua#vaihto#ehto	nmod	valita	Sing.1	79	https://puolukka.uta.fi/jhout/analyzer/index.php?id=391
Sitten pari sanaa asumisesta.	Sitten pari sanaa asumisesta. Helpoin tapa saada katto pään päälle on hakea huonetta opiskelija-asuntolasta, joista suurin osa sijaitsee Salzburg Südissä noin 10-15 minuutin bussimatkan päässä keskustasta.  Asuntolat täyttyvät nopeasti, joten huonehakemus kannattaa lähettää heti, kun tieto opiskelupaikasta on varmistunut. Joissain asuntoloissa ei ole mahdollista saada omaa huonetta, vaan huone jaetaan toisen opiskelijan kanssa, jolloin yksityisyyttä ei juuri ole. Kannattaa olla tarkkana mihin asuntolaan laittaa hakemuksen, jos huoneen jakaminen ei innosta.			298	asua	nmod			70	https://puolukka.uta.fi/jhout/analyzer/index.php?id=298
Oli tehnyt varauksen opiskelija-asuntolaan saatuani varmistuksen vaihtopaikasta.	Oli tehnyt varauksen opiskelija-asuntolaan saatuani varmistuksen vaihtopaikasta. Kävi kuitenkin ilmi, että yliopiston uusi opiskelija-asuntola ei ollut vielä valmistunut ja meidät laitettiin kuukaudeksi asumaan parin kilometrin päässä sijaitsevaan hotelliin. Hotellissa viipymisestä maksoimme kuitenkin vain saman vuokran, minkä olisimme maksaneet asuntolastakin ja yliopisto kattoi loput. Hotellissa viipymisen lähestyessä loppuaan meille kerrottiin, että osa varauksen tehneistä ei välttämättä saakkaan paikkaa uudesta asuntolasta, koska varauksia on niin paljon. Yliopistolla oli myös hieman vanhempia asuntoloita, mutta tässä vaiheessa olin jo niin kyllästynyt jatkuvaan säätämiseen, että päätin vuokrata asunnon yksityiseltä uuden vaihtariystäväni kanssa. Pitempään Pekingissä opiskelleen Korealaisen ystävämme avustuksella löysimme aivan koulun vieressä sijaitsevan asunnon kahdella makuuhuoneella, olohuoneella, keittiöllä ja vieläpä parvekkeella. Vuokrakin oli suurinpiirtein uuden asuntolan tasolla lukuunottamatta välityspalkkiota. Vaikka omassa asunnossa asuminen oli kohdallani erittäin hyvä päätös, oli siinä onnea mukana melkoisesti. Uusille saapujille suosittelisin uutta opiskelija-asuntolaa ainakin ensimmäiseksi asuinsijaksi. Sieltä voi sitten katsella jos haluaa lähteä muualle. Opiskelija-asuntojen vuokrat on kerrottu varauslappusessa. Ympäröivien asuntojen vuokrat ovat pääasiassa niitä korkeampia ja saatavuus sekä asuntojen taso on yleensä heikko.			375	opiskelija-asuntola	nmod	tehdä	--	164	https://puolukka.uta.fi/jhout/analyzer/index.php?id=375
Suurin osa Pietarin vaihtareista majoittuu samaan asuntolaan, legendaariseen ” kapitanskayaan ”, joka siis sijaitsee sen nimisellä kadulla, Vasilin saarella.	Suurin osa Pietarin vaihtareista majoittuu samaan asuntolaan, legendaariseen ”kapitanskayaan”, joka siis sijaitsee sen nimisellä kadulla, Vasilin saarella. Asuntola järjestetään yliopiston toimesta 4-7 hengen soluasunnoissa, joissa yleensä myös huone jaetaan toisen henkilön kanssa. Sopu sijaa antaa, vai mitä?			831	asun#tola	nmod	majoittua	Sing.3	37	https://puolukka.uta.fi/jhout/analyzer/index.php?id=831
Asunnon ja erityisesti vuokranantajan suhteen minulla kävi tuuri.	Asunnon ja erityisesti vuokranantajan suhteen minulla kävi tuuri. Olin tuolloisena kesänä kiireinen kesätyöni johdosta, joten pyysin saksantaitoiselta isältäni apua asunnon etsimisen suhteen. Hän löysi minulle yksiön trendikkäästä Kreuzbergin kaupunginosasta, josta matka yliopistolle metrolla kesti n. 45 minuuttia. Berliini on tunnettu edullisesti vuokra-asunnoista, mutta ehkä jälkikäteen ajatellen suosittelisin silti soluasumista, koska sitä kautta saa paremmin kontaktia saksalaisiin. Vuokranantajani oli tunnettu nuori muotibloggaaja ja vietin hänen ja hänen poikaystävän kanssa paljon aikaa yhdessä koko Berliini-vuoteni aikana. Ajallisesti pitkät matkan Berliinin sisällä ovat normaalia, mutta niihin tottuu eikä potentiaalisen asunnon kaukaistakaan sijaintia yliopistolta kannata pelätä. Vuokrataso on tosin ollut Berliinissä nousussa, mutta ainakin toistaiseksi tilanne on varsin hyvä. Berliinissä myös sattuu ja tapahtuu kaikenlaista! Suuria katujuhlia, kulkueita, mielenosoituksia, kalenterijuhlat yms. Henkilökohtaisesti suurin tapahtuma oli varmaankin Saksan MM-voitto jalkapallossa, jota todistin Branburgin Torilla yhdessä 20000-300000 muun kiivaan fanin kanssa!			624	asunto	nmod	käydä	Sing.3	135	https://puolukka.uta.fi/jhout/analyzer/index.php?id=624
Saavuin Ljubljanaan kielikurssin alkua edeltävällä viikolla, joten pääsin suoraan muuttamaan asuntolaan.	Saavuin Ljubljanaan kielikurssin alkua edeltävällä viikolla, joten pääsin suoraan muuttamaan asuntolaan. Ne, jotka saapuivat syyskuun ensimmäisenä maanantaina, joutuivat jonottamaan asuntolapaikkaa tuntitolkulla. Toisaalta monet ystävyyssuhteet syntyivät toimistoon jonottaessa. Vuokrani oli ensin 86 euroa kuussa, myöhemmin se nostettiin 115 euroon, mutta vaihtareiden ja heidän kotiyliopistojensa valitusten ansiosta vuokra laskettiin 100 euroon. Yksityiseltä oman huoneen saa 250:llä eurolla ja jaetun 150-200:lla eurolla kuussa. Opiskelijajärjestö Sou auttaa asunnon etsimisessä.			722	asun#tola	nmod	saapua	Sing.1	3	https://puolukka.uta.fi/jhout/analyzer/index.php?id=722
Yliopisto ei juurikaan auta asumisjärjestelyissä eikä siellä muutenkaan vaihtareita avustettu samalla tavalla kuin Suomessa( tuutorin nimen sai 2 viikkoa vaihdon alun jälkeen, ja siihen sai ottaa yhteyttä itse, jos halusi) .	Yliopisto ei juurikaan auta asumisjärjestelyissä eikä siellä muutenkaan vaihtareita avustettu samalla tavalla kuin Suomessa (tuutorin nimen sai 2 viikkoa vaihdon alun jälkeen, ja siihen sai ottaa yhteyttä itse, jos halusi). Lyonin asuntotilanne syyskuussa oli paha, ja joillakin meni koko syyskuu asunnon etsintään. Kannattaa yrittää järjestää asunto jo ennen maahan saapumista. Opiskelija-asuntolat ovat suhteellisen kalliita ja kolkkoja, mutta kuulemani perusteella ainakin käytännön järjestelyt pelaavat. Suosittelen, jos olet vain muutaman kuukauden.			532	asua#järjestely	nmod	auttaa	--	69	https://puolukka.uta.fi/jhout/analyzer/index.php?id=532
Yliopisto tarjosi kaikille vaihto-oppilaille paikan asuntolasta, joka oli aika kaukana keskusta.	Yliopisto tarjosi kaikille vaihto-oppilaille paikan asuntolasta, joka oli aika kaukana keskusta. Huoneet olivat hieman huonokuntoisia, vaikkakin erittäin halpoja. Suurin osa vaihto-oppilaista asuivat asuntolassa, jossa piti jakaa huone toisen kanssa. Asuntolalla oli myös muutamia yhden hengen huoneita, jotka menivät kuitenkin hyvin nopeasti. Kannattaa olla siis ajoissa liikkeellä, jos haluaa sellaisen. Itse en ollut ajoissa, enkä halunnut jakaa huonetta, minkä takia asuin vaihdon ajan keskustassa sijaitsevassa vuokra-asunnossa kolmen muun vaihto-opiskelijan kanssa. Itse pidin keskustasijainnista, koska joka paikkaan oli lyhyt matka ja myös mahdollista kävellä. Vuokrasimme asunnon paikalliselta välittäjältä, koska kaupungin asuntomarkkinoilla on liikkeellä paljon huijareita. Löysimme toisemme Facebookin kautta ja etsimme asunnon jo ennen Prahaan tuloa. Vaikka emme tunteneet toisiamme etukäteen, tulimme erittäin hyvin toimeen keskenämme. Voinkin suositella ratkaisua, jos yliopiston tarjoama asuntola ei innosta.			774	asun#tola	nmod	tarjota	Sing.3	123	https://puolukka.uta.fi/jhout/analyzer/index.php?id=774
Asunnosta muodostui kriittisin osa koko vaihtoa.	Asunnosta muodostui kriittisin osa koko vaihtoa. Päätimme heti alussa etsiä yhden kämpän kaikille neljälle, sillä silloin olisi hieman halvempaa asua. Maastricht on erittäin opiskelijakaupunki, joten asuntoja tulee ja menee, mutta ulkopuoliselle sen hankkiminen on vaikeaa, saatikaan sitten asunnon hankkiminen neljälle hengelle. Saimme vinkin edellisvuonna olleilta edullisesta asuntolasta, mutta tämä oli jo marraskuussa varattu täyteen vaihtomme ajaksi. Kymmenien ja kymmenien sähköpostien jälkeen saimme kiinteistövälitysfirman kautta kiinni asunnosta, jossa olisi sängyt neljälle ja joka olisi sopiva vaihtomme ajaksi. Jippii! Kunnes lopulta kävi ilmi, että tämä asunto ei olisikaan saatavilla huhtikuun alusta, vaan meidän olisi asuttava ensimmäiset 3 viikkoa jossain muualla. Hätäratkaisuna löysimme airBnB:stä edullisen, mutta erittäin pienen kämpän aivan Maastrichtin historiallisesta keskustasta. Kolmen yllättävän lyhyen viikon kuluttua saimme muuttaa viralliseen kämppään Sint-Pietersbergin kaupungiosaan, joka oli lähellä keskustaa ja hieman lähempänä sairaalaa. Asunto oli hieno ja siisti kolmessa kerroksessa osana isoa taloa. Landlordimme asui viereisessä asunnossa, joten kommunikaatio onnistui helposti, jos ilmeni jokin ongelma. Alue, jolla asuimme, oli selvästi rikkaampaa seutua ja turvallisen oloista, isoja taloja, Porscheja pihoissa ja lapset kadulla leikkimässä. Mikäs sen parempaa. Lähikirkon kellotkin kilkuttivat joka tasatunti, mikä toisaalta lähinnä alkoi ärsyttämään ensimmäisten viikkojen jälkeen.			20	asunto	nmod	muodostua	Sing.3	185	https://puolukka.uta.fi/jhout/analyzer/index.php?id=20
Sain itselleni huoneen Kotmerckx-asuntolasta yliopiston kautta aivan keskuskampukselta, jossa kurssini järjestettiin.	Sain itselleni huoneen Kotmerckx-asuntolasta yliopiston kautta aivan keskuskampukselta, jossa kurssini järjestettiin. Asuntoon sain heti avaimen seuraavana päivänä saapumisestani, koska saavuin toimistoaikojen jälkeen. Asuntola oli aika epäsiisti, jaoin kaksi suihkua ja kaksi WC:tä kahdenkymmenen muun kanssa. Paikallinen erikoisuus on, että vaikka omassa huoneessa ei olekaan kylpyhuonetta, niin käsienpesuallas ja kylmä juokseva vesi kyllä löytyy. Huoneeni oli valmiiksi kalustettu, ja siellä oli kokolattiamatto sekä sänky, jonka pohja saattoi tippua keskellä yötä nukkuessa. Asuntolassa oli myös hiiriä, jonka ratkaisuksi talonmies toi meille muutaman hiirenloukun. Sähköt myös saattoivat katketa parhaimmillaan kolme kertaa päivässä sulakevian vuoksi. Yhteiset tilat siivooja kävi siivoamassa kerran viikossa. Huoneeni vuokra oli noin 300 euroa, johon kuului sähkö, vesi, netti ja palovakuutus. Kaiken kaikkiaan monet keskuskampuksen läheisyydessä sijaitsevat asuntolat ovat Suomen asuntojen tasoon nähden todella vanhoja ja huonossa kunnossa. Muutaman kuukauden tuolla kyllä eleli, mutta vuoden kestävän vaihdon ajaksi suosittelen etsimään sellaista huonetta, jossa on oma kylpyhuone.			61	Kotmerckx-asuntolasta	nmod	saada	Sing.1	146	https://puolukka.uta.fi/jhout/analyzer/index.php?id=61
Orientation weekin lopussa muutettiin lopulliseen asuntolaan.	Orientation weekin lopussa muutettiin lopulliseen asuntolaan. Minä päädyin ennalta tekemieni valintojen pohjalta (no mandatory meal etc.) Shaw Collegen I-house 2:seen, johon liittyy paljon hyviä ja huonoja puolia. Ensinäkin yliopistolla asuminen on ylivoimaisen käytännöllistä ja halpaa yksityisen asunnon vuokraamiseen verrattuna. Maksoin neljästä kuukaudesta vain noin 600€, ja koska yliopisto sijaitsee New Territoriessilla kaukana keskustasta, voi yksityisen asunnon mahdollinen huono sijainti alkaa kismittämään todella paljon lukukauden aikana. I-house 2 ei kuitenkaan ole asuntolana siitä parhaimmasta päästä. Talo on todella huonossa kunnossa ja sijaitsee lähestulkoon kampuksen kaukaisimmassa nurkassa. Huoneet luonnollisesti jaetaan 1-2 henkilön kanssa, ja vessat ja keittiö koko kerroksen kanssa. Yhteisasumisessa siis voi olla vähän pureskeltavaa joillekin vaihtareille.			399	asun#tola	nmod	muuttaa	--	38	https://puolukka.uta.fi/jhout/analyzer/index.php?id=399
Sain noin viikon sisällä siitä kun olin laittanut hakemuksen yliopiston asuntopalveluihin tarjouksen soluasunnosta.	Sain noin viikon sisällä siitä kun olin laittanut hakemuksen yliopiston asuntopalveluihin tarjouksen soluasunnosta. Valitettavaa oli kuitenkin se, että lähes koko vuoden vuokra tuli maksaa kerralla siinä yhteydessä kun otti asunnon vastaan. Maksua oli mahdollisuus hieman jakaa pienempii eriin, mutta suurin osa tuli maksaa kerralla. Toisaalta se oli hyvä, että vuokrasta ei tarvinnut enää huolehtia vuoden aikana.			126	asunto#palvelu	nmod	saada	Sing.1	56	https://puolukka.uta.fi/jhout/analyzer/index.php?id=126
Lensin Wieniin sunnuntaina ja lento-kentältä suuntasin suoraan asunnolleni.	Lensin Wieniin sunnuntaina ja lento-kentältä suuntasin suoraan asunnolleni. Asuntoni olin vuokrannut yksityiseltä toisen suomalaisen vaihto-oppilaan kanssa, koska olin kuullut paljon Wienin huonosta opiskelija-asuntojen hinta-laatusuhteesta. Kämppä löytyi Facebookin vaihto-oppilasyhteisöstä ja vuokranantajalla oli hyviä kokemuksia suomalaisista, joten sen vuoksi onnistuimme saamaan asunnon jo ennen Wieniin saapumista. Wienissä ainakin keväällä on hyvin myös yksityisellä puolella asuntoja saatavilla, vaikka osalla asunnon saaminen tällöin kesti muutaman viikon.			317	asunto	nmod	lentää	Sing.1	62	https://puolukka.uta.fi/jhout/analyzer/index.php?id=317
Itselläni kävi tuuri asunnon suhteen löytäessäni edullisen huoneen Chelseasta aivan Manhattanin keskeltä.	Itselläni kävi tuuri asunnon suhteen löytäessäni edullisen huoneen Chelseasta aivan Manhattanin keskeltä. Sijainti oli täydellinen, naapurusto rauhallinen ja paloportailla istuessa näki sekä Times Squaren valot että Empire State Buildingin. Viikonloput kuluivat eri kaupunginosiin tutustuessa muiden harjoittelijoiden kanssa ja tekemistä olisi ollut enemmän kuin mihin aika lopulta riitti. Rahaa New Yorkissa kuluu Suomessa elämiseen verrattuna paljon, mutta itse pärjäsin hyvin harjoittelutuen, opintotuen ja yliopiston myöntämän matka-apurahan ansiosta, minkä lisäksi nostin hieman opintolainaa ennen lähtöäni. Voikin sanoa, että elämä New Yorkissa on hektistä ja kallista, mutta ehdottomasti kokemisen arvoista.			839	asunto	nmod	käydä	Sing.3	87	https://puolukka.uta.fi/jhout/analyzer/index.php?id=839
Asunnonhaussa olin hyvissä ajoin liikkeellä( laitoin paperit eteenpäin ehkä päivä pari sen jälkeen, kun ne täytettäviksi sain) ja sain soluhuoneen Apartiksen kautta.	Asunnonhaussa olin hyvissä ajoin liikkeellä (laitoin paperit eteenpäin ehkä päivä pari sen jälkeen, kun ne täytettäviksi sain) ja sain soluhuoneen Apartiksen kautta. Apartis on paikallinen opiskelija-asuntoyhdistys ja todennäköisesti helpoin ratkaisu vaihto-opiskelijalle. Meitä oli soluasunnossa yhteensä viisi opiskelijaa, kolme tyttöä ja kaksi poikaa. Asuin Bellevuessa, noin parin kilometrin päässä keskustasta. Viihdyin hyvin, vaikka asumisjärjestely olikin opiskelijasoluksi melko kallis.			731	asunto#haku	nmod	olla	Sing.1	57	https://puolukka.uta.fi/jhout/analyzer/index.php?id=731
Asunnon löytämisessä oli itselläni hieman ongelmia.	Asunnon löytämisessä oli itselläni hieman ongelmia. Aloitin etsimisen vasta, kun sain virallisen vahvistuksen siitä, että saisin huoneen opiskelija-asuntolasta vasta helmikuun alusta. Moni teki niin, että hankkiutui hostelliin ensimmäiseksi kuukaudeksi muiden kanssa, joilla oli samoja ongelmia. Itse halusin välttämättä löytää kimppakämpän ranskalaisten kanssa, jotta oppisin kieltä. Löysin googlettamalla omakotitalon, jossa asui viisi opiskelijaa. Ranskassa on myös monia sivustoja, joilta voi melko helposti löytää erilaisia ”colocation” -asumismuodon kämppiä keskustasta kohtuuhintaan. Itse asuin melko kaukana melko kalliilla. Kannattaa etsiä asuntoa Tram -linjan varrelta, jotta on helppo kulkea. Jälkeenpäin myös opiskelija-asuntolat vaikuttivat hyvältä, varsinkin remontoidut. Ja ne ovat tietenkin halvempia. Myös yöbussi kulkee aina näille ”Villageille” asti ja on aina varmasti paluuseuraa. Tätä yksityistä asuntoa varten jouduin tekemään kovan työn, kun jouduin hankkimaan jos jonkinlaista paperia ja dokumenttia. Noin parikymmentä omalta osaltani ja takaajan osalta. Ja en ollut saanut kunnollista varmistusta koko asunnon olemassaolosta muuten kuin vasta paikanpäälle saavuttuani. Myös yliopistolle ilmoittautuminen vaati jälleen paljon papereita. Ranskassa kaikki vaatii melko paljon papereita, mutta siitä ei kannata turhaan huolehtia.			517	asunto	nmod:gobj	olla	Sing.3	164	https://puolukka.uta.fi/jhout/analyzer/index.php?id=517
Asunnon hankkimiseen liittyen yliopisto tarjosi palvelua, jossa paikallinen toimisto hankkii vaihtareille asuntoja paikallisilta.	Asunnon hankkimiseen liittyen yliopisto tarjosi palvelua, jossa paikallinen toimisto hankkii vaihtareille asuntoja paikallisilta. Minulle tarjottiin palvelun kautta huonetta asunnosta, jossa asui lisäkseni 4 muuta ihmistä. Vieraaseen maahan lähtevälle tämä saattaa kuulostaa hyvältä vaihtoehdolta, mutta todellisuudessa asunto oli todella huonokuntoinen, eikä kämppiksistä voinut tietää mitään etukäteen. Asuttuani 3 viikkoa kyseisessä asunnossa, kyselin facebookin kautta asunnoista, ja muutinkin pian keskustassa sijaitsevaan, todella upeaan kahden hengen tilavaan asuntoon ranskalaisen opiskelijan kanssa. Vuokra oli 360 euroa kuukaudessa, jonka päälle maksettiin vielä kuukausittain kaasu, sähkö ja vesi. Hintaa asumiselle tuli noin 400 euroa kuukaudessa. Tämä oli yleiseen tasoon nähden hiukan korkea, mutta asunto oli lähes ylellinen yleiseen tasoon nähden. Paviassa on tarjolla vuokra-asuntoja todella paljon, ja monet paikalliset opiskelijat hakevat alivuokralaisia asuntoihinsa. Kannattaa kuitenkin pitää mielessä epäviralliseten vuokrasuhteiden riskit. Tuleviin kämppiksiin on myös hyvä tutustua hiukan etukäteen. Etenkin Keski-Eurooppalaiset miehet saattavat olla todella sotkuisia ja välinpitämättömiä kanssa-asujia kohtaan.			270	asunto	nmod:gobj	tarjota	Sing.3	143	https://puolukka.uta.fi/jhout/analyzer/index.php?id=270
Asunnon hankkiminen oli ainoa vähänkään hankala tai työläs tehtävä ennen lähtöä tapahtuneista etukäteisjärjestelyistä, kaikki muu oli hyvin helppoa.	Asunnon hankkiminen oli ainoa vähänkään hankala tai työläs tehtävä ennen lähtöä tapahtuneista etukäteisjärjestelyistä, kaikki muu oli hyvin helppoa. Minun täytyy myöntää, että olin asian kanssa hieman myöhässä. Merkittävä osa opiskelija-asuntoloiden huoneista oli jo varattu loppuun siinä vaiheessa kesää, kun aloin hankkia asuntoa. Kokeilin myös kimppa-asunnon hankkimista (erilaisten kimppa-asuntosivustojen kautta, sillä ainoana Tampereen yliopistosta syyslukukaudeksi Montpellier’n kauppakorkeakouluun lähtevänä en tuntenut etukäteen ketään koko kaupungista), mutta se osoittautui hankalaksi, sillä lähes kaikki etsivät jotakuta, joka sitoutuisi vuokralle vähintään lukuvuodeksi.			535	asunto	nmod:gobj	ainoa	--	78	https://puolukka.uta.fi/jhout/analyzer/index.php?id=535
Muiden lomakkeiden lisäksi lähetin kesäkuussa vaihtoyliopistolta saamieni ohjeiden mukaisesti myös hakemuksen opiskelija-asuntolahuoneen saamiseksi.	Muiden lomakkeiden lisäksi lähetin kesäkuussa vaihtoyliopistolta saamieni ohjeiden mukaisesti myös hakemuksen opiskelija-asuntolahuoneen saamiseksi. Koska vaihtoyliopistolta saamassani kirjeessä oli painotettu sitä, ettei paikallisella Studentenwerkillä ole mahdollisuutta tarjota kaikille vaihto-opiskelijoille asuntoa, päädyin etsiskelemään asuntoja kesän mittaan itse netistä (http://www.wg-gesucht.de/). Löysin itselleni sopivan asunnon kyseiseltä sivustolta jo heinäkuussa ja päädyin näin ollen hylkäämään Goethe-yliopiston kansainvälisten asioiden toimiston minulle heinäkuun lopulla tarjoaman asuntolahuoneen. Asuin vaihtolukukauden ajan opiskelijayksiössä alivuokralaisena; minulle asuntonsa vuokrannut opiskelija lähti itse vaihtoon lukukaudeksi Itävaltaan. Maksoin Bockenheimin kampuksen vieressä sijaitsevasta n. 20 neliön asunnostani 400 €/kk, joka sisälsi asunnon ja käyttötavaroiden (mm. astiat ja polkupyörä) lisäksi netin, sähkön ja veden.			650	opiskelija-asuntola#huone	nmod:gobj	lähettää	Sing.1	100	https://puolukka.uta.fi/jhout/analyzer/index.php?id=650
Asunnon hankkiminen oli helppoa vaihtareille tarkoitetun StayInAthens -järjestön kautta.	Asunnon hankkiminen oli helppoa vaihtareille tarkoitetun StayInAthens -järjestön kautta. Asuntoja pystyi selaamaan netissä ja valitsemaan mieluisensa suhteellisen laajasta tarjonnasta. Hyvänä puolena StayInAthensissa on sen helppous ja ehdottomasti sen asuntojen keskeiset sijainnit yliopistojen lähellä sekä niiden keskittyminen muiden erasmus-asuntojen kanssa. StayInAthensin kämpät muodostivatkin vaihtarikommuuneja, joissa suurin osa illanvietoista tapahtui. Miinuspuolena voidaan katsoa niiden korkeaa hintaa sekä huonoa kuntoa. Asunnon suhteen annan kuitenkin kaksi tärkeää vinkkiä, hanki asunto, jossa on ilmastiointi ja parveke/kattoterassi. Jos et halua paleltua talvella ja hikoilla kesää on ilmastointi ehdottoman tärkeä miellyttävän elämän kannalta. Parveke tai kattoterassi on taas eritäin hyödyllinen auringonottoon ja muuhun hengailuun kämppiksien kanssa.			449	asunto	nmod:gobj	helppo	--	5	https://puolukka.uta.fi/jhout/analyzer/index.php?id=449
Asunnon hankkiminen Kööpenhaminassa on erittäin hankalaa ja vuokrataso on hyvin korkea.	Asunnon hankkiminen Kööpenhaminassa on erittäin hankalaa ja vuokrataso on hyvin korkea. Suurin osa vaihto-opiskelijoista tyytyi yliopiston tarjoamiin opiskelija-asuntoloihin, ellei heillä ollut kontakteja jo valmiiksi paikan päällä. Ilmoittautuminen asuntoloihin alkoi ilmoitettuna päivänä kello 10 aamulla. Linkki hakusivustolle lähetettiin kaikille opiskelijoille sähköpostiin. Itse sain linkin noin kello 10.10, jolloin kaikki itse haluamani asunnot olivat jo varattuja. Päädyin valitsemaan asunnon Kathrine Kollegiet -asuntolasta, jossa oli pelkästään ulkomaalaisia vaihto-opiskelijoita. Vuokra asunnossa oli n.550€/kk.			743	asunto	nmod:gobj	hankala	--	71	https://puolukka.uta.fi/jhout/analyzer/index.php?id=743
Suurlähetystön henkilökunta tarjosi resurssiensa puitteissa apuaan mm. maahantuloon, käytännön järjestelyihin sekä asunnon löytämiseen liittyvissä asioissa.	Suurlähetystön henkilökunta tarjosi resurssiensa puitteissa apuaan mm. maahantuloon, käytännön järjestelyihin sekä asunnon löytämiseen liittyvissä asioissa. Asunto on kuitenkin lähtökohtaisesti hankittava itse. Esimerkiksi netistä löytyy useita eri sivustoja, joissa julkaistaan ilmoituksia asunnoista ja kimppakämpistä. Etukäteen Suomesta käsin asuntoa on kuitenkin kovin vaikeaa vuokrata, ellei esimerkiksi kontaktien kautta satu löytymään luotettavaa vuokranantajaa. Siksi suosittelen hostellin tai muun majoituksen varaamista alkuun esimerkiksi viikon ajaksi, asunnon etsimistä varten. Asuntojen laatu eroaa monella tavalla suomalaisista asunnoista.			42	asunto	nmod:gobj	tarjota	Sing.3	71	https://puolukka.uta.fi/jhout/analyzer/index.php?id=42
